Title,Ingredients,Cuisine,Calories,Instructions
Chicken and Rice with Broccoli Recipe,"2 ½ pounds bone-in, skin-on chicken legs or other chicken parts, Kosher salt and freshly ground black pepper, 2 tablespoons olive oil, 1 large onion, chopped (1 ½ cups), 2 small heads broccoli, cut into florets (about 2 cups), 3 medium cloves garlic, minced or grated with a microplane (about 1 tablespoon), 1 teaspoon ground cumin, 1 teaspoon turmeric or pinch of saffron threads, 1/4 teaspoon cayenne pepper (plus more to taste if desired), 3 cups homemade homemade or store-bought low sodium chicken broth, 1 ½ cups basmati or long-grain white rice, 3/4 cup frozen peas, 2 tablespoon chopped fresh parsley leaves, Lemon or lime wedges, for serving",mediterranean,4392.38,"Start by gathering the following ingredients: 2 ½ pounds bone-in, skin-on chicken legs or other chicken parts, Kosher salt and freshly ground black pepper, 2 tablespoons olive oil, 1 large onion, chopped (1 ½ cups), 2 small heads broccoli, cut into florets (about 2 cups), 3 medium cloves garlic, minced or grated with a microplane (about 1 tablespoon), 1 teaspoon ground cumin, 1 teaspoon turmeric or pinch of saffron threads, 1/4 teaspoon cayenne pepper (plus more to taste if desired), 3 cups homemade homemade or store-bought low sodium chicken broth, 1 ½ cups basmati or long-grain white rice, 3/4 cup frozen peas, 2 tablespoon chopped fresh parsley leaves, Lemon or lime wedges, for serving. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 4392.38 calories in total."
"Broccoli, Cheddar and Wild Rice Casserole recipes","3 tablespoons butter, 1/2 large onion, diced, salt, 2/3 cup uncooked wild rice blend, rinsed, 1 pound broccoli, 1 garlic clove, minced or pressed, 1/4 teaspoon ground mustard powder or 1/2 teaspoon smooth Dijon, Pinch of cayenne pepper, 2 tablespoons all-purpose flour, 1 cup whole milk, 2/3 cup low-sodium vegetable or chicken broth, 8 ounces cheddar cheese, coarsely grated, freshly ground black pepper",american,2065.13,"Start by gathering the following ingredients: 3 tablespoons butter, 1/2 large onion, diced, salt, 2/3 cup uncooked wild rice blend, rinsed, 1 pound broccoli, 1 garlic clove, minced or pressed, 1/4 teaspoon ground mustard powder or 1/2 teaspoon smooth Dijon, Pinch of cayenne pepper, 2 tablespoons all-purpose flour, 1 cup whole milk, 2/3 cup low-sodium vegetable or chicken broth, 8 ounces cheddar cheese, coarsely grated, freshly ground black pepper. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 2065.13 calories in total."
"Brown Rice, Spicy Chicken Sausage and Broccoli","4-5 Spicy chicken sausages (I prefer the ones sold at Whole Foods), 2 pounds broccoli, cut into small bite sized pieces, 2 cups cooked brown rice (organic), 1/2 cup extra virgin olive oil, 2 tablespoons unslated butter, 3/4 cup store bought chicken stock (unsalted), 1/2 cup diced sweet onion (vidallia), 1/4 cup parmesan (optional)",italian,2591.3,"Start by gathering the following ingredients: 4-5 Spicy chicken sausages (I prefer the ones sold at Whole Foods), 2 pounds broccoli, cut into small bite sized pieces, 2 cups cooked brown rice (organic), 1/2 cup extra virgin olive oil, 2 tablespoons unslated butter, 3/4 cup store bought chicken stock (unsalted), 1/2 cup diced sweet onion (vidallia), 1/4 cup parmesan (optional). Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 2591.3 calories in total."
"Cheesy Chicken, Broccoli, and Rice Casserole","2 cloves garlic, 10 to 12 ounces fresh broccoli crowns, or 10 ounces frozen broccoli florets, 8 ounces sharp cheddar cheese (about 2 cups shredded), divided, 3 tablespoons unsalted butter, 1 1/2 teaspoons kosher salt, 3 tablespoons all-purpose flour, 1 (14.5-ounce) can low-sodium chicken broth (scant 2 cups), 1/2 cup whole or 2% milk, 1/4 teaspoon freshly ground black pepper, 3/4 cup uncooked long-grain white rice",american,2055.71,"Start by gathering the following ingredients: 2 cloves garlic, 10 to 12 ounces fresh broccoli crowns, or 10 ounces frozen broccoli florets, 8 ounces sharp cheddar cheese (about 2 cups shredded), divided, 3 tablespoons unsalted butter, 1 1/2 teaspoons kosher salt, 3 tablespoons all-purpose flour, 1 (14.5-ounce) can low-sodium chicken broth (scant 2 cups), 1/2 cup whole or 2% milk, 1/4 teaspoon freshly ground black pepper, 3/4 cup uncooked long-grain white rice. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Sugar-Conscious, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 2055.71 calories in total."
Miso brown rice & chicken salad,"120g brown basmati rice, 2 skinless chicken breasts, 140g sprouting broccoli, 4 spring onions, cut into diagonal slices, 1 tbsp toasted sesame seeds, 2 tsp miso paste, 1 tbsp rice vinegar, 1 tbsp mirin, 1 tsp grated ginger",japanese,1256.61,"Start by gathering the following ingredients: 120g brown basmati rice, 2 skinless chicken breasts, 140g sprouting broccoli, 4 spring onions, cut into diagonal slices, 1 tbsp toasted sesame seeds, 2 tsp miso paste, 1 tbsp rice vinegar, 1 tbsp mirin, 1 tsp grated ginger. Prepare the dish categorized as a salad. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the salad hot. This dish is suitable for Sugar-Conscious, Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Lupine-Free, Mollusk-Free, No oil added, Sulfite-Free, Kosher. It contains approximately 1256.61 calories in total."
Soy-Glazed Chicken with Broccoli,"3 Tbsp. honey, 3 Tbsp. soy sauce or tamari, 3 Tbsp. unseasoned rice vinegar, 1 tsp. finely grated ginger (from one 2"" piece), 1 Tbsp. vegetable oil, 4 skinless, boneless chicken thighs, 1 1/2 tsp. kosher salt, divided, plus more, 1 large head of broccoli, cut into florets, Steamed rice (for serving), Sliced scallions, toasted sesame seeds, and hot sesame oil (for serving; optional)",mediterranean,2576.49,"Start by gathering the following ingredients: 3 Tbsp. honey, 3 Tbsp. soy sauce or tamari, 3 Tbsp. unseasoned rice vinegar, 1 tsp. finely grated ginger (from one 2"" piece), 1 Tbsp. vegetable oil, 4 skinless, boneless chicken thighs, 1 1/2 tsp. kosher salt, divided, plus more, 1 large head of broccoli, cut into florets, Steamed rice (for serving), Sliced scallions, toasted sesame seeds, and hot sesame oil (for serving; optional). Prepare the dish categorized as a starter. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the starter hot. This dish is suitable for Dairy-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Kosher. It contains approximately 2576.49 calories in total."
Cheesy Broccoli and Rice Casserole recipes,"1 pound broccoli, stems peeled, kosher salt, 2 cups long-grain white rice, 3 cups chicken stock, 12 ounces Velveeta, cut into ½-inch pieces, 2 cups grated cheddar cheese, 2 cups grated Gruyère cheese, 2 cups heavy cream, freshly ground pepper, 1 cup panko bread crumbs, 4 tablespoons unsalted butter, melted",american,7260.88,"Start by gathering the following ingredients: 1 pound broccoli, stems peeled, kosher salt, 2 cups long-grain white rice, 3 cups chicken stock, 12 ounces Velveeta, cut into ½-inch pieces, 2 cups grated cheddar cheese, 2 cups grated Gruyère cheese, 2 cups heavy cream, freshly ground pepper, 1 cup panko bread crumbs, 4 tablespoons unsalted butter, melted. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 7260.88 calories in total."
Chicken-and-Broccoli Stir-Fry,"2 tablespoons soy sauce, 2 tablespoons rice vinegar, 2 tablespoons oyster sauce, 1 tablespoon cornstarch, 1 teaspoon toasted sesame oil, 2 tablespoons vegetable oil, 1 pound boneless, skinless chicken thighs, cut into ½-inch strips, 3 tablespoons minced peeled fresh ginger, 2 cloves garlic, minced, 2 scallions, thinly sliced, 1 bunch broccoli, cut into small florets, stalks peeled and thinly sliced 1, Cooked white rice, for serving",chinese,1341.26,"Start by gathering the following ingredients: 2 tablespoons soy sauce, 2 tablespoons rice vinegar, 2 tablespoons oyster sauce, 1 tablespoon cornstarch, 1 teaspoon toasted sesame oil, 2 tablespoons vegetable oil, 1 pound boneless, skinless chicken thighs, cut into ½-inch strips, 3 tablespoons minced peeled fresh ginger, 2 cloves garlic, minced, 2 scallions, thinly sliced, 1 bunch broccoli, cut into small florets, stalks peeled and thinly sliced 1, Cooked white rice, for serving. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Sugar-Conscious, Dairy-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Fish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Lupine-Free, Alcohol-Free. It contains approximately 1341.26 calories in total."
Cheesy Broccoli And Rice Casserole,"2 slices hearty white sandwich bread, torn into pieces, ¾ cup grated Parmesan cheese, 4 tablespoons unsalted butter, melted; plus 2 tablespoons, chilled, 1 garlic clove, minced, 2 pounds broccoli, florets cut into 1-inch pieces, stems peeled and chopped, 1 onion, chopped fine, 1¼ cups long grain white rice, 4 cups low-sodium chicken broth, 1¼ cups half-and-half, 1 teaspoon salt, 2 cups shredded extra-sharp cheddar cheese, ⅛ teaspoon cayenne pepper",american,2981.7,"Start by gathering the following ingredients: 2 slices hearty white sandwich bread, torn into pieces, ¾ cup grated Parmesan cheese, 4 tablespoons unsalted butter, melted; plus 2 tablespoons, chilled, 1 garlic clove, minced, 2 pounds broccoli, florets cut into 1-inch pieces, stems peeled and chopped, 1 onion, chopped fine, 1¼ cups long grain white rice, 4 cups low-sodium chicken broth, 1¼ cups half-and-half, 1 teaspoon salt, 2 cups shredded extra-sharp cheddar cheese, ⅛ teaspoon cayenne pepper. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 2981.7 calories in total."
Broccoli Wild Rice Casserole recipes,"2 cups Uncooked Wild Rice, 10 cups Low-sodium Chicken Broth, More If Needed For Thinning, 3 heads Broccoli, Cut Into Small Florets, 1 pound White Button Or Crimini Mushrooms, Finely Chopped, 1/2 cup (1 Stick) Butter, 1 whole Medium Onion, Finely Diced, 2 whole Carrots, Peeled And Finely Diced, 2 stalks Celery, Finely Diced, 4 Tablespoons All-purpose Flour, 1/2 cup Heavy Cream, 1 teaspoon Salt, More To Taste, 1 teaspoon Black Pepper, 1 cup Panko Breadcrumbs",nordic,3906.99,"Start by gathering the following ingredients: 2 cups Uncooked Wild Rice, 10 cups Low-sodium Chicken Broth, More If Needed For Thinning, 3 heads Broccoli, Cut Into Small Florets, 1 pound White Button Or Crimini Mushrooms, Finely Chopped, 1/2 cup (1 Stick) Butter, 1 whole Medium Onion, Finely Diced, 2 whole Carrots, Peeled And Finely Diced, 2 stalks Celery, Finely Diced, 4 Tablespoons All-purpose Flour, 1/2 cup Heavy Cream, 1 teaspoon Salt, More To Taste, 1 teaspoon Black Pepper, 1 cup Panko Breadcrumbs. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 3906.99 calories in total."
